Index,Event,content_id,content_name,action,Description,Page / Context,dataLayer Push Example
1,post_engagement,getting-started-with-ga4,Getting Started with GA4,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/getting-started-with-ga4.html,"{""event"":""post_engagement"",""content_id"":""getting-started-with-ga4"",""content_name"":""Getting Started with GA4"",""action"":""like""}"
2,post_engagement,getting-started-with-ga4,Getting Started with GA4,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/getting-started-with-ga4.html,"{""event"":""post_engagement"",""content_id"":""getting-started-with-ga4"",""content_name"":""Getting Started with GA4"",""action"":""unlike""}"
3,post_engagement,getting-started-with-ga4,Getting Started with GA4,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/getting-started-with-ga4.html,"{""event"":""post_engagement"",""content_id"":""getting-started-with-ga4"",""content_name"":""Getting Started with GA4"",""action"":""comment""}"
4,post_engagement,analytics-first-workflow,Analytics-First Workflow with CLAUDE.md,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/analytics-first-workflow.html,"{""event"":""post_engagement"",""content_id"":""analytics-first-workflow"",""content_name"":""Analytics-First Workflow with CLAUDE.md"",""action"":""like""}"
5,post_engagement,analytics-first-workflow,Analytics-First Workflow with CLAUDE.md,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/analytics-first-workflow.html,"{""event"":""post_engagement"",""content_id"":""analytics-first-workflow"",""content_name"":""Analytics-First Workflow with CLAUDE.md"",""action"":""unlike""}"
6,post_engagement,analytics-first-workflow,Analytics-First Workflow with CLAUDE.md,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/analytics-first-workflow.html,"{""event"":""post_engagement"",""content_id"":""analytics-first-workflow"",""content_name"":""Analytics-First Workflow with CLAUDE.md"",""action"":""comment""}"
7,post_engagement,beautiful-dashboards,Smart Solutions to Build Beautiful Dashboards,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/beautiful-dashboards.html,"{""event"":""post_engagement"",""content_id"":""beautiful-dashboards"",""content_name"":""Smart Solutions to Build Beautiful Dashboards"",""action"":""like""}"
8,post_engagement,beautiful-dashboards,Smart Solutions to Build Beautiful Dashboards,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/beautiful-dashboards.html,"{""event"":""post_engagement"",""content_id"":""beautiful-dashboards"",""content_name"":""Smart Solutions to Build Beautiful Dashboards"",""action"":""unlike""}"
9,post_engagement,beautiful-dashboards,Smart Solutions to Build Beautiful Dashboards,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/beautiful-dashboards.html,"{""event"":""post_engagement"",""content_id"":""beautiful-dashboards"",""content_name"":""Smart Solutions to Build Beautiful Dashboards"",""action"":""comment""}"
10,post_engagement,building-with-claude-code,Building with Claude Code,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/building-with-claude-code.html,"{""event"":""post_engagement"",""content_id"":""building-with-claude-code"",""content_name"":""Building with Claude Code"",""action"":""like""}"
11,post_engagement,building-with-claude-code,Building with Claude Code,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/building-with-claude-code.html,"{""event"":""post_engagement"",""content_id"":""building-with-claude-code"",""content_name"":""Building with Claude Code"",""action"":""unlike""}"
12,post_engagement,building-with-claude-code,Building with Claude Code,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/building-with-claude-code.html,"{""event"":""post_engagement"",""content_id"":""building-with-claude-code"",""content_name"":""Building with Claude Code"",""action"":""comment""}"
13,post_engagement,claude-commands-guide,Claude Commands Guide,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/claude-commands-guide.html,"{""event"":""post_engagement"",""content_id"":""claude-commands-guide"",""content_name"":""Claude Commands Guide"",""action"":""like""}"
14,post_engagement,claude-commands-guide,Claude Commands Guide,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/claude-commands-guide.html,"{""event"":""post_engagement"",""content_id"":""claude-commands-guide"",""content_name"":""Claude Commands Guide"",""action"":""unlike""}"
15,post_engagement,claude-commands-guide,Claude Commands Guide,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/claude-commands-guide.html,"{""event"":""post_engagement"",""content_id"":""claude-commands-guide"",""content_name"":""Claude Commands Guide"",""action"":""comment""}"
16,post_engagement,claude-tips,10 Claude Tips,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/claude-tips.html,"{""event"":""post_engagement"",""content_id"":""claude-tips"",""content_name"":""10 Claude Tips"",""action"":""like""}"
17,post_engagement,claude-tips,10 Claude Tips,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/claude-tips.html,"{""event"":""post_engagement"",""content_id"":""claude-tips"",""content_name"":""10 Claude Tips"",""action"":""unlike""}"
18,post_engagement,claude-tips,10 Claude Tips,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/claude-tips.html,"{""event"":""post_engagement"",""content_id"":""claude-tips"",""content_name"":""10 Claude Tips"",""action"":""comment""}"
19,post_engagement,datalayer-medicion-robusta,DataLayer: Medición Robusta,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/datalayer-medicion-robusta.html,"{""event"":""post_engagement"",""content_id"":""datalayer-medicion-robusta"",""content_name"":""DataLayer: Medición Robusta"",""action"":""like""}"
20,post_engagement,datalayer-medicion-robusta,DataLayer: Medición Robusta,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/datalayer-medicion-robusta.html,"{""event"":""post_engagement"",""content_id"":""datalayer-medicion-robusta"",""content_name"":""DataLayer: Medición Robusta"",""action"":""unlike""}"
21,post_engagement,datalayer-medicion-robusta,DataLayer: Medición Robusta,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/datalayer-medicion-robusta.html,"{""event"":""post_engagement"",""content_id"":""datalayer-medicion-robusta"",""content_name"":""DataLayer: Medición Robusta"",""action"":""comment""}"
22,post_engagement,design-principles-for-data-products,Design Principles for Data Products,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/design-principles-for-data-products.html,"{""event"":""post_engagement"",""content_id"":""design-principles-for-data-products"",""content_name"":""Design Principles for Data Products"",""action"":""like""}"
23,post_engagement,design-principles-for-data-products,Design Principles for Data Products,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/design-principles-for-data-products.html,"{""event"":""post_engagement"",""content_id"":""design-principles-for-data-products"",""content_name"":""Design Principles for Data Products"",""action"":""unlike""}"
24,post_engagement,design-principles-for-data-products,Design Principles for Data Products,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/design-principles-for-data-products.html,"{""event"":""post_engagement"",""content_id"":""design-principles-for-data-products"",""content_name"":""Design Principles for Data Products"",""action"":""comment""}"
25,post_engagement,analytics-doc-automation,Analytics Documentation That Never Goes Stale,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/analytics-doc-automation.html,"{""event"":""post_engagement"",""content_id"":""analytics-doc-automation"",""content_name"":""Analytics Documentation That Never Goes Stale"",""action"":""like""}"
26,post_engagement,analytics-doc-automation,Analytics Documentation That Never Goes Stale,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/analytics-doc-automation.html,"{""event"":""post_engagement"",""content_id"":""analytics-doc-automation"",""content_name"":""Analytics Documentation That Never Goes Stale"",""action"":""unlike""}"
27,post_engagement,analytics-doc-automation,Analytics Documentation That Never Goes Stale,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/analytics-doc-automation.html,"{""event"":""post_engagement"",""content_id"":""analytics-doc-automation"",""content_name"":""Analytics Documentation That Never Goes Stale"",""action"":""comment""}"
28,post_engagement,portfolio-security-audit,Portfolio Security Audit,like,User clicks heart button on a post for the first time. Like count increments. Row inserted into Supabase post_likes.,blog/portfolio-security-audit.html,"{""event"":""post_engagement"",""content_id"":""portfolio-security-audit"",""content_name"":""Portfolio Security Audit"",""action"":""like""}"
29,post_engagement,portfolio-security-audit,Portfolio Security Audit,unlike,User clicks heart button again (toggle off). Row deleted from Supabase post_likes.,blog/portfolio-security-audit.html,"{""event"":""post_engagement"",""content_id"":""portfolio-security-audit"",""content_name"":""Portfolio Security Audit"",""action"":""unlike""}"
30,post_engagement,portfolio-security-audit,Portfolio Security Audit,comment,User submits a comment. Row inserted into Supabase post_comments. No raw text sent — only action value.,blog/portfolio-security-audit.html,"{""event"":""post_engagement"",""content_id"":""portfolio-security-audit"",""content_name"":""Portfolio Security Audit"",""action"":""comment""}"
